intersection,install_date,notes
OHIO DR & STONE CREST RD,2022-10-27,
FM0423 & ROCKHILL PKWY,2019-08-06,
ROLLING BROOK DR & STONEBROOK PKWY,2022-12-01,
LEGACY DR & THRONE HALL DR,2020-06-11,
LEGACY DR & VENETO DR,2018-02-01,
S TEEL PKWY & US0380,2020-04-29,city bulletin
COTTON GIN RD & LEGACY DR,2017-04-01,estimated based on approval date
INDEPENDENCE PKWY & LEBANON RD,2021-09-23,city bulletin
COIT RD & LYNDHURST DR,2021-04-05,city bulletin
TEEL PKWY & TIMBER RIDGE DR,2019-06-01,estimated based on approval date
MAIN ST & MAJESTIC GARDENS DR,2019-07-18,city bulletin
AVENUE OF THE STARS & GAYLORD PKWY,2018-06-01,estimated based on community news
FM2934 & GRAYHAWK BLVD,2017-09-29,city bulletin
STONEBROOK PKWY & LONE STAR RANCH PKWY,2021-09-09,city bulletin
PANTHER CREEK PKWY & HILLCREST RD,2020-07-14,city bulletin
